player=1,SET:ACEH
player=0,SET:BCEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,S
player=0,MOV:C,N
player=1,MOV:C,W
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:D,E
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:H,N
player=1,MOV:F,W
player=0,MOV:E,N
player=1,MOV:G,N
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:E,N
player=1,MOV:G,N
player=0,MOV:E,N
player=1,MOV:D,S
player=0,MOV:A,N
player=1,MOV:G,W
player=0,MOV:E,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:A,W
winner=0
