player=1,SET:BCDE
player=0,SET:BDFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:H,W
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,W
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:G,W
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:H,N
player=1,MOV:G,N
player=0,MOV:H,E
player=1,MOV:G,S
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:E,W
winner=1
