player=1,SET:ABEF
player=0,SET:CDFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:A,W
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:D,E
player=0,MOV:E,W
player=1,MOV:F,N
player=0,MOV:B,E
player=1,MOV:F,W
player=0,MOV:H,N
player=1,MOV:F,W
player=0,MOV:B,N
winner=1
