player=0,SET:ABCF
player=1,SET:CDEG
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:A,N
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:G,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,N
player=1,MOV:H,N
player=0,MOV:F,W
player=1,MOV:H,E
player=0,MOV:F,W
player=1,MOV:H,W
player=0,MOV:F,N
player=1,MOV:H,S
player=0,MOV:F,N
player=1,MOV:H,S
player=0,MOV:F,N
player=1,MOV:H,E
winner=0
