player=0,SET:AEFH
player=1,SET:ABCF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:C,W
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:E,N
player=1,MOV:F,E
player=0,MOV:C,N
winner=1
