player=1,SET:ACFH
player=0,SET:BDEF
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,E
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:A,S
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:E,W
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:D,N
winner=0
