player=1,SET:ABEF
player=0,SET:CDFG
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:E,W
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:F,W
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:A,W
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:F,N
player=1,MOV:E,W
player=0,MOV:H,W
player=1,MOV:F,N
player=0,MOV:H,S
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:C,E
winner=0
