player=1,SET:ACDH
player=0,SET:CDEF
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:H,E
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:A,S
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:H,N
player=0,MOV:B,W
player=1,MOV:H,E
player=0,MOV:B,E
player=1,MOV:H,N
player=0,MOV:B,S
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:H,W
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:G,E
player=0,MOV:F,N
player=1,MOV:H,W
player=0,MOV:F,N
player=1,MOV:B,E
winner=0
