player=1,SET:BEGH
player=0,SET:BCEG
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:F,E
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:A,S
player=1,MOV:G,N
player=0,MOV:A,S
player=1,MOV:H,N
player=0,MOV:A,S
player=1,MOV:H,N
player=0,MOV:E,W
player=1,MOV:C,E
player=0,MOV:F,N
player=1,MOV:H,N
winner=0
