player=1,SET:DEGH
player=0,SET:ABFG
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:D,E
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:D,E
player=1,MOV:D,N
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:E,W
player=1,MOV:C,E
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:H,E
player=1,MOV:G,N
player=0,MOV:G,E
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:G,W
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:G,W
winner=0
