player=1,SET:BCDF
player=0,SET:BEFG
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:B,N
player=1,MOV:D,E
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,S
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:E,W
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:C,N
player=0,MOV:A,W
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:C,W
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:A,E
player=1,MOV:B,E
winner=0
