player=0,SET:CDFG
player=1,SET:CDFH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,W
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:E,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:G,W
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:F,N
player=1,MOV:B,S
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,W
winner=1
