player=0,SET:BCGH
player=1,SET:DEGH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,W
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:F,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:E,W
player=1,MOV:B,W
player=0,MOV:B,W
player=1,MOV:C,S
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:C,E
winner=1
