player=1,SET:AEFG
player=0,SET:ABCD
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:C,E
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:E,W
player=0,MOV:E,W
player=1,MOV:B,W
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,N
player=0,MOV:G,E
player=1,MOV:F,W
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:F,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:E,S
player=1,MOV:C,N
winner=2
