player=1,SET:ACEG
player=0,SET:ABCD
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:C,N
player=0,MOV:G,E
player=1,MOV:C,N
player=0,MOV:F,E
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:E,W
winner=0
