player=0,SET:ACDF
player=1,SET:CDFG
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,W
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,S
player=0,MOV:D,N
player=1,MOV:G,E
player=0,MOV:D,W
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:H,W
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:B,S
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:E,W
player=0,MOV:C,W
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:E,S
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:H,E
player=1,MOV:E,N
player=0,MOV:G,E
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,E
winner=0
