player=1,SET:AFGH
player=0,SET:BDEH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:D,E
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,W
player=1,MOV:A,W
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:D,W
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:H,E
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:D,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,N
player=1,MOV:B,W
