player=1,SET:BCDF
player=0,SET:AFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:A,E
player=1,MOV:G,E
player=0,MOV:A,E
player=1,MOV:E,W
player=0,MOV:A,E
player=1,MOV:F,W
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:G,E
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:D,S
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:D,S
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:A,E
player=0,MOV:D,E
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:D,S
winner=1
