player=1,SET:CEFH
player=0,SET:BCDE
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:B,E
player=0,MOV:C,W
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:G,W
player=0,MOV:E,N
player=1,MOV:D,E
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,W
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,E
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:G,N
player=0,MOV:E,W
player=1,MOV:G,N
player=0,MOV:F,W
player=1,MOV:G,N
player=0,MOV:G,W
winner=0
