player=1,SET:BCDG
player=0,SET:AEGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:E,W
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:B,W
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:G,N
player=1,MOV:G,E
player=0,MOV:E,N
player=1,MOV:G,E
player=0,MOV:H,E
player=1,MOV:G,N
player=0,MOV:E,S
player=1,MOV:G,N
player=0,MOV:E,W
winner=1
