player=0,SET:BCFH
player=1,SET:ABGH
player=0,MOV:E,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:D,E
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:C,W
player=1,MOV:A,W
player=0,MOV:F,W
player=1,MOV:A,N
player=0,MOV:C,S
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:H,W
player=1,MOV:C,E
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:F,W
player=1,MOV:E,W
player=0,MOV:D,E
player=1,MOV:F,W
player=0,MOV:C,W
player=1,MOV:F,N
player=0,MOV:C,E
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:C,W
player=1,MOV:F,N
player=0,MOV:G,E
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:E,N
player=1,MOV:F,W
winner=1
