player=0,SET:ABGH
player=1,SET:BCDE
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:H,E
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,W
winner=1
