player=0,SET:AEFH
player=1,SET:BDGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:E,E
player=0,MOV:A,E
player=1,MOV:B,E
player=0,MOV:B,E
player=1,MOV:A,W
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,S
player=1,MOV:A,S
winner=2
