player=1,SET:ACFH
player=0,SET:BEFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,W
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:D,E
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:D,S
player=1,MOV:F,W
player=0,MOV:D,S
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:D,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:G,W
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:G,E
player=0,MOV:B,E
player=1,MOV:G,W
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,S
player=0,MOV:B,N
player=1,MOV:G,N
winner=2
