player=0,SET:ABFG
player=1,SET:CEGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,E
player=1,MOV:A,E
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:A,E
player=0,MOV:E,N
player=1,MOV:D,N
player=0,MOV:D,E
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:F,W
player=1,MOV:D,S
player=0,MOV:F,N
player=1,MOV:D,S
player=0,MOV:F,N
player=1,MOV:D,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,W
player=1,MOV:D,N
player=0,MOV:G,N
player=1,MOV:B,E
player=0,MOV:G,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:G,N
player=1,MOV:D,N
player=0,MOV:G,N
player=1,MOV:D,N
player=0,MOV:G,N
player=1,MOV:D,E
winner=1
