player=0,SET:ACDG
player=1,SET:ACEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,E
player=0,MOV:F,N
player=1,MOV:A,E
player=0,MOV:F,S
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:G,N
player=0,MOV:C,W
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
player=0,MOV:C,W
player=1,MOV:G,W
player=0,MOV:C,E
player=1,MOV:G,E
winner=2
