player=1,SET:ABFG
player=0,SET:ADFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:D,N
player=0,MOV:F,N
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,S
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,E
player=0,MOV:B,S
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,E
player=0,MOV:E,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,S
player=0,MOV:C,E
winner=0
