player=0,SET:ABCG
player=1,SET:ABCE
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:F,E
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:F,E
player=0,MOV:B,W
player=1,MOV:F,E
player=0,MOV:B,W
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:B,E
player=0,MOV:E,N
player=1,MOV:B,W
player=0,MOV:E,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:B,E
player=0,MOV:C,E
player=1,MOV:B,E
player=0,MOV:D,N
player=1,MOV:B,E
player=0,MOV:D,E
winner=0
