player=0,SET:BDFH
player=1,SET:ABGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,W
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:D,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:B,W
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,W
winner=0
