player=0,SET:ABEH
player=1,SET:ABFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:E,E
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:A,E
player=1,MOV:E,S
player=0,MOV:B,N
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:H,N
player=0,MOV:E,N
player=1,MOV:A,S
player=0,MOV:C,E
player=1,MOV:H,E
player=0,MOV:E,W
player=1,MOV:H,W
player=0,MOV:B,N
player=1,MOV:E,E
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:F,N
player=1,MOV:H,E
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:G,N
player=1,MOV:E,E
player=0,MOV:G,W
player=1,MOV:H,S
player=0,MOV:G,W
player=1,MOV:E,W
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:G,N
player=1,MOV:E,S
player=0,MOV:F,N
player=1,MOV:H,S
player=0,MOV:E,N
player=1,MOV:H,N
player=0,MOV:E,E
player=1,MOV:E,W
player=0,MOV:G,W
player=1,MOV:H,S
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:G,W
winner=0
