player=1,SET:ADGH
player=0,SET:ACEG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:G,N
player=1,MOV:D,N
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:D,E
player=0,MOV:B,E
winner=0
