player=1,SET:CDEH
player=0,SET:ABEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,W
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,W
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:C,W
player=0,MOV:D,E
player=1,MOV:C,W
player=0,MOV:D,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,W
player=0,MOV:D,W
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,W
winner=1
