player=1,SET:ABFH
player=0,SET:ADFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,E
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:F,N
player=1,MOV:A,E
player=0,MOV:F,N
player=1,MOV:A,E
player=0,MOV:E,N
player=1,MOV:A,S
player=0,MOV:E,E
player=1,MOV:A,W
player=0,MOV:E,W
player=1,MOV:D,N
player=0,MOV:H,E
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:D,W
player=1,MOV:E,N
player=0,MOV:D,E
player=1,MOV:E,W
player=0,MOV:D,W
player=1,MOV:E,W
winner=1
