player=0,SET:ABDH
player=1,SET:ABCH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:E,W
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:E,W
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:A,S
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:E,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,W
winner=0
