player=0,SET:ADEH
player=1,SET:AFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:A,E
player=1,MOV:E,W
player=0,MOV:A,E
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,S
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,W
player=1,MOV:H,N
player=0,MOV:B,S
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:H,N
player=0,MOV:B,S
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:H,E
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:C,W
winner=0
