player=0,SET:BDFH
player=1,SET:CDEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,W
player=1,MOV:C,E
player=0,MOV:D,W
player=1,MOV:H,E
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:D,N
player=0,MOV:D,E
player=1,MOV:D,N
player=0,MOV:E,N
player=1,MOV:C,S
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,S
winner=2
