player=1,SET:DFGH
player=0,SET:BDFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:D,E
player=1,MOV:C,E
player=0,MOV:D,S
player=1,MOV:C,S
player=0,MOV:D,N
player=1,MOV:D,N
player=0,MOV:D,S
player=1,MOV:D,N
player=0,MOV:D,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:C,S
player=0,MOV:D,S
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,N
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:A,E
player=1,MOV:G,N
player=0,MOV:A,E
player=1,MOV:G,E
player=0,MOV:A,E
winner=0
