player=1,SET:ABEF
player=0,SET:BEFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:C,W
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:H,E
player=0,MOV:E,N
player=1,MOV:D,S
player=0,MOV:E,N
player=1,MOV:G,E
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:F,W
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:H,S
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,E
player=0,MOV:C,E
winner=0
