player=0,SET:ACFH
player=1,SET:CEGH
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,W
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:F,N
player=1,MOV:F,W
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:F,W
player=1,MOV:D,N
player=0,MOV:F,W
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:F,E
player=1,MOV:D,N
player=0,MOV:F,W
player=1,MOV:C,S
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,E
player=1,MOV:D,E
player=0,MOV:A,E
player=1,MOV:D,E
winner=1
