player=1,SET:BCEH
player=0,SET:CDFH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:B,W
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:G,W
player=1,MOV:E,N
player=0,MOV:G,N
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:H,N
player=0,MOV:G,S
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:E,N
player=0,MOV:H,E
player=1,MOV:E,N
player=0,MOV:G,S
player=1,MOV:E,E
player=0,MOV:G,S
player=1,MOV:E,N
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:H,N
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:H,S
player=1,MOV:H,N
player=0,MOV:H,N
player=1,MOV:H,N
player=0,MOV:H,S
player=1,MOV:H,N
player=0,MOV:H,N
player=1,MOV:D,N
player=0,MOV:H,S
player=1,MOV:D,E
winner=1
