player=1,SET:ABFH
player=0,SET:BCDF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:D,E
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:C,E
player=1,MOV:B,W
player=0,MOV:C,E
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:D,E
player=1,MOV:A,E
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:E,N
player=1,MOV:A,W
player=0,MOV:F,N
player=1,MOV:A,W
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,N
player=0,MOV:F,E
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,E
player=1,MOV:G,N
player=0,MOV:E,S
player=1,MOV:G,N
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:F,S
player=1,MOV:E,N
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:F,E
player=1,MOV:D,N
player=0,MOV:F,S
player=1,MOV:D,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:E,E
player=1,MOV:D,N
player=0,MOV:F,S
player=1,MOV:D,E
winner=1
