player=1,SET:BDEG
player=0,SET:ADFH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,W
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,E
player=0,MOV:D,N
player=1,MOV:B,E
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:H,E
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:G,N
player=1,MOV:B,W
player=0,MOV:G,S
player=1,MOV:C,E
player=0,MOV:F,N
player=1,MOV:C,E
player=0,MOV:F,W
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:G,W
player=1,MOV:C,N
player=0,MOV:G,W
player=1,MOV:D,N
player=0,MOV:F,E
player=1,MOV:D,N
player=0,MOV:G,E
player=1,MOV:C,N
player=0,MOV:F,E
player=1,MOV:C,E
winner=1
