player=0,SET:BCDG
player=1,SET:BDEF
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:D,E
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,E
player=1,MOV:D,W
player=0,MOV:C,E
player=1,MOV:D,W
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:B,W
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:H,W
player=1,MOV:A,N
player=0,MOV:D,S
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:A,W
winner=1
