player=0,SET:ABFH
player=1,SET:BCDH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,W
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:B,E
player=0,MOV:B,W
player=1,MOV:B,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:E,W
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,E
player=0,MOV:E,N
player=1,MOV:C,E
player=0,MOV:E,S
player=1,MOV:D,N
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,W
winner=1
