player=1,SET:CEFH
player=0,SET:ABFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,S
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:G,E
player=0,MOV:B,S
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:G,S
player=0,MOV:B,S
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,S
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
winner=2
