player=0,SET:CDEF
player=1,SET:ACGH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:H,E
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:B,W
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,S
player=0,MOV:F,N
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:D,W
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,E
player=0,MOV:G,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
player=0,MOV:H,S
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:B,E
