player=0,SET:ACFG
player=1,SET:CEGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,E
player=0,MOV:B,E
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,S
winner=2
