player=1,SET:BCGH
player=0,SET:DEFG
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:A,S
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:A,S
player=0,MOV:E,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:F,W
player=1,MOV:A,S
player=0,MOV:C,E
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:C,N
player=1,MOV:C,E
player=0,MOV:C,E
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,W
player=0,MOV:C,S
player=1,MOV:D,E
