player=1,SET:BEFH
player=0,SET:AEGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:B,W
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:D,E
player=1,MOV:F,N
player=0,MOV:D,E
winner=0
