player=0,SET:CDFG
player=1,SET:EFGH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,E
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:B,E
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:A,S
player=0,MOV:E,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
