player=1,SET:BCGH
player=0,SET:BFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:A,S
player=0,MOV:A,E
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:B,W
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:A,S
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:A,S
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,E
player=0,MOV:A,S
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:F,E
player=0,MOV:A,S
player=1,MOV:F,E
player=0,MOV:A,N
player=1,MOV:G,N
player=0,MOV:A,S
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:B,N
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,S
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:D,N
winner=2
