player=1,SET:BDEG
player=0,SET:ABCH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,S
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,S
player=1,MOV:E,N
player=0,MOV:D,N
player=1,MOV:C,S
player=0,MOV:D,E
player=1,MOV:E,S
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:C,S
player=0,MOV:F,N
player=1,MOV:C,S
player=0,MOV:F,N
player=1,MOV:F,W
player=0,MOV:F,E
player=1,MOV:E,N
player=0,MOV:F,S
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:F,S
player=1,MOV:F,W
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:F,S
player=1,MOV:F,N
player=0,MOV:F,S
player=1,MOV:E,E
player=0,MOV:F,S
player=1,MOV:E,N
player=0,MOV:F,N
player=1,MOV:F,N
player=0,MOV:F,W
player=1,MOV:C,S
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:F,N
player=1,MOV:C,N
player=0,MOV:F,E
player=1,MOV:F,N
player=0,MOV:F,N
player=1,MOV:E,W
player=0,MOV:F,E
player=1,MOV:C,N
player=0,MOV:F,E
player=1,MOV:C,E
winner=1
