player=0,SET:DFGH
player=1,SET:DEFH
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,E
player=1,MOV:C,E
player=0,MOV:A,E
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:C,N
player=0,MOV:A,S
player=1,MOV:C,E
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:F,W
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,E
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:F,W
player=0,MOV:A,N
player=1,MOV:C,S
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:B,S
player=1,MOV:A,W
player=0,MOV:B,S
player=1,MOV:C,N
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:C,S
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,S
player=1,MOV:B,E
player=0,MOV:B,N
