player=0,SET:ABEF
player=1,SET:BFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:A,S
player=0,MOV:C,W
player=1,MOV:E,S
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:C,E
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,S
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,S
player=1,MOV:H,N
player=0,MOV:C,S
player=1,MOV:E,N
player=0,MOV:D,W
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:H,N
player=0,MOV:C,N
player=1,MOV:H,N
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:H,N
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,E
winner=1
