player=0,SET:ACFH
player=1,SET:ACEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,S
player=1,MOV:E,N
player=0,MOV:D,S
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:B,S
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,E
player=0,MOV:E,S
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:B,W
winner=0
