player=0,SET:ABFH
player=1,SET:ACEG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:D,S
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:D,E
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:C,S
player=1,MOV:D,S
player=0,MOV:F,N
player=1,MOV:E,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,W
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:G,E
player=0,MOV:C,S
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
winner=0
