player=0,SET:AEGH
player=1,SET:BDEG
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:D,E
player=0,MOV:B,N
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:B,N
player=0,MOV:B,E
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:D,N
player=0,MOV:B,E
player=1,MOV:D,N
player=0,MOV:E,W
player=1,MOV:C,N
player=0,MOV:D,E
player=1,MOV:C,E
player=0,MOV:E,N
player=1,MOV:E,W
player=0,MOV:E,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:C,E
player=0,MOV:C,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:C,S
player=1,MOV:C,N
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:G,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:C,E
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,E
winner=1
