player=0,SET:ACEH
player=1,SET:ABGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:D,E
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,S
player=1,MOV:B,N
player=0,MOV:D,S
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:H,N
player=0,MOV:B,E
player=1,MOV:H,N
player=0,MOV:B,E
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,S
player=1,MOV:H,N
player=0,MOV:B,E
player=1,MOV:H,N
player=0,MOV:F,W
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:C,N
player=1,MOV:E,N
winner=0
