player=0,SET:CDGH
player=1,SET:AFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:B,W
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:E,W
player=1,MOV:B,N
player=0,MOV:F,N
player=1,MOV:B,W
player=0,MOV:F,W
player=1,MOV:F,N
player=0,MOV:G,N
player=1,MOV:F,N
player=0,MOV:B,S
player=1,MOV:F,N
player=0,MOV:B,N
player=1,MOV:F,W
winner=0
