player=0,SET:CEFH
player=1,SET:CDGH
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,S
player=1,MOV:D,N
player=0,MOV:A,W
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:B,E
player=1,MOV:C,N
player=0,MOV:F,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,S
player=1,MOV:D,W
player=0,MOV:G,W
player=1,MOV:A,W
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,W
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:H,N
player=0,MOV:A,S
player=1,MOV:H,N
player=0,MOV:A,S
player=1,MOV:H,N
player=0,MOV:A,S
player=1,MOV:H,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:B,N
winner=0
