player=0,SET:ABCH
player=1,SET:ACEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:C,N
player=0,MOV:B,W
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:A,E
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:C,N
player=0,MOV:F,E
player=1,MOV:C,W
player=0,MOV:G,N
player=1,MOV:D,E
player=0,MOV:G,E
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:E,N
player=1,MOV:E,N
winner=0
