player=1,SET:ACEF
player=0,SET:BDEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,E
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,N
player=1,MOV:E,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:H,N
player=1,MOV:E,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:G,E
player=1,MOV:B,S
player=0,MOV:H,W
player=1,MOV:G,N
player=0,MOV:H,W
player=1,MOV:G,S
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,N
winner=1
